Date,HighTemp,LowTemp,Rain,Snow,TotalPatients
1/1/14,25,20,0.15,2.5,1403
1/2/14,24,14,0.28,5.2,1362
1/3/14,15,8,0.02,0.4,1358
1/4/14,34,13,0,0,1534
1/5/14,40,33,0.31,0,1499
1/6/14,33,-11,0.08,0.9,1233
1/7/14,4,-11,0,0,1195
1/8/14,21,4,0,0,1375
1/9/14,31,5,0.13,1.5,1510
1/10/14,46,31,0.07,0.4,1518
1/11/14,51,35,0.17,0,1431
1/12/14,41,34,0,0,1467
1/13/14,49,41,0.09,0,1650
1/14/14,45,35,0,0,1459
1/15/14,35,26,0,0,1403
1/16/14,30,21,0.05,0.6,1363
1/17/14,39,14,0.08,0.8,1333
1/18/14,21,11,0.02,0.2,1244
1/19/14,35,20,0.02,0.2,1385
1/20/14,37,19,0.02,0.3,1491
1/21/14,19,8,0.03,0.7,1347
1/22/14,12,5,0.01,0.4,1308
1/23/14,12,3,0.12,2.8,1282
1/24/14,21,-1,0,0,1168
1/25/14,30,12,0.28,5.3,1163
1/26/14,37,6,0.02,0.4,1329
1/27/14,41,-1,0.04,0.8,1335
1/28/14,7,-9,0.01,0.3,1191
1/29/14,16,-2,0,0,1266
1/30/14,33,11,0,0,1356
1/31/14,36,31,0,0,1251
2/1/14,43,30,0.62,0.1,1304
2/2/14,38,24,0.28,2.4,1286
2/3/14,26,10,0,0,1557
2/4/14,27,9,0.12,1.9,1415
2/5/14,26,17,0.27,3.8,1210
2/6/14,21,4,0,0,1300
2/7/14,13,-3,0,0,1231
2/8/14,20,3,0.04,0.8,1265
2/9/14,25,17,0.15,2.6,1383
2/10/14,21,10,0.01,0.3,1450
2/11/14,17,-1,0.02,0.3,1335
2/12/14,32,-6,0,0,1336
2/13/14,31,8,0,0,1258
2/14/14,32,22,0.03,0.3,1181
2/15/14,24,11,0,0,1306
2/16/14,26,6,0.08,1.5,1318
2/17/14,35,-5,0.19,2,1463
2/18/14,46,26,0.24,2.8,1338
2/19/14,47,30,0,0,1429
2/20/14,59,28,0.18,0,1542
2/21/14,56,37,0.51,0,1372
2/22/14,45,36,0.05,0,1424
2/23/14,39,25,0.02,0,1442
2/24/14,28,22,0,0,1537
2/25/14,24,18,0.07,1.4,1481
2/26/14,21,13,0.12,2.6,1396
2/27/14,19,5,0.03,1,1281
2/28/14,24,1,0,0,1319
3/1/14,45,21,0.02,0.3,1306
3/2/14,21,11,0.14,2.5,1285
3/3/14,12,1,0,0,1484
3/4/14,26,0,0,0,1393
3/5/14,24,18,0,0,1370
3/6/14,38,17,0,0,1395
3/7/14,53,28,0,0,1249
3/8/14,39,25,0.09,0.6,1364
3/9/14,39,17,0,0,1413
3/10/14,57,38,0,0,1644
3/11/14,63,40,0.01,0,1559
3/12/14,43,14,0.57,3.9,1305
3/13/14,30,14,0,0,1428
3/14/14,59,30,0.02,0,1444
3/15/14,46,29,0,0,1345
3/16/14,29,17,0,0,1439
3/17/14,33,14,0,0,1534
3/18/14,55,23,0,0,1561
3/19/14,50,39,0.28,0,1412
3/20/14,39,33,0,0,1452
3/21/14,47,27,0.01,0.1,1415
3/22/14,52,34,0,0,1446
3/23/14,34,21,0.03,0.3,1394
3/24/14,33,19,0,0,1579
3/25/14,38,19,0.1,1.2,1385
3/26/14,30,17,0.08,1.2,1331
3/27/14,50,24,0.22,0,1344
3/28/14,56,40,0.01,0,1327
3/29/14,41,33,0.62,5,1267
3/30/14,42,28,0,0,1385
3/31/14,59,25,0,0,1584
4/1/14,71,47,0.01,0,1366
4/2/14,53,39,0,0,1436
4/3/14,48,37,1.05,0,1372
4/4/14,65,39,0.35,0,1383
4/5/14,46,33,0,0,1331
4/6/14,54,28,0,0,1471
4/7/14,57,37,0.61,0,1641
4/8/14,57,38,0.27,0,1479
4/9/14,52,40,0,0,1500
4/10/14,72,43,0.32,0,1429
4/11/14,62,48,0.1,0,1441
4/12/14,74,47,0,0,1390
4/13/14,79,63,0,0,1571
4/14/14,73,41,0.45,0,1691
4/15/14,41,31,0.36,1.3,1387
4/16/14,43,25,0,0,1421
4/17/14,66,39,0,0,1358
4/18/14,66,46,0,0,1336
4/19/14,52,38,0,0,1371
4/20/14,76,36,0,0,1355
4/21/14,79,49,0,0,1747
4/22/14,64,43,0.04,0,1604
4/23/14,51,34,0,0,1572
4/24/14,56,34,0,0,1530
4/25/14,60,41,0.18,0,1485
4/26/14,59,40,0,0,1421
4/27/14,52,40,0,0,1510
4/28/14,56,47,0.16,0,1649
4/29/14,77,54,0.7,0,1496
4/30/14,61,52,0.36,0,1442
5/1/14,58,47,0.01,0,1448
5/2/14,58,48,0.02,0,1430
5/3/14,64,49,0.01,0,1485
5/4/14,63,41,0,0,1508
5/5/14,55,39,0,0,1636
5/6/14,59,38,0,0,1554
5/7/14,73,50,0.09,0,1516
5/8/14,87,60,0,0,1499
5/9/14,82,62,0.28,0,1528
5/10/14,70,54,0,0,1446
5/11/14,79,51,0,0,1553
5/12/14,77,67,2.64,0,1754
5/13/14,88,67,0,0,1586
5/14/14,71,57,0.41,0,1470
5/15/14,69,46,0.56,0,1598
5/16/14,51,40,0.01,0,1414
5/17/14,54,39,0.07,0,1472
5/18/14,64,38,0,0,1588
5/19/14,67,41,0,0,1681
5/20/14,75,52,0,0,1618
5/21/14,78,62,0,0,1597
5/22/14,69,55,0,0,1626
5/23/14,63,51,0,0,1511
5/24/14,74,47,0,0,1610
5/25/14,77,49,0,0,1604
5/26/14,83,54,0,0,1710
5/27/14,85,67,0.06,0,1872
5/28/14,76,60,0.05,0,1673
5/29/14,67,56,0,0,1581
5/30/14,73,51,0,0,1427
